lang,set,no,name,domain,bunya,applies_to,n_checkpoints,has_related_laws,n_evidence,n_defect_cases,path
ko,별표7,1.1.1,경영진의 참여,관리체계 수립 및 운영,관리체계 기반 마련,ISMS/ISMS-P,2,N,5,2,docs/ko/annex7/1.1.1.md
ko,별표7,1.1.2,최고책임자의 지정,관리체계 수립 및 운영,관리체계 기반 마련,ISMS/ISMS-P,2,Y,6,4,docs/ko/annex7/1.1.2.md
ko,별표7,1.1.3,조직 구성,관리체계 수립 및 운영,관리체계 기반 마련,ISMS/ISMS-P,3,Y,5,4,docs/ko/annex7/1.1.3.md
ko,별표7,1.1.4,범위 설정,관리체계 수립 및 운영,관리체계 기반 마련,ISMS/ISMS-P,3,N,7,3,docs/ko/annex7/1.1.4.md
ko,별표7,1.1.5,정책 수립,관리체계 수립 및 운영,관리체계 기반 마련,ISMS/ISMS-P,4,Y,5,3,docs/ko/annex7/1.1.5.md
ko,별표7,1.1.6,자원 할당,관리체계 수립 및 운영,관리체계 기반 마련,ISMS/ISMS-P,3,N,4,3,docs/ko/annex7/1.1.6.md
ko,별표7,1.2.1,정보자산 식별,관리체계 수립 및 운영,위험 관리,ISMS/ISMS-P,3,N,5,5,docs/ko/annex7/1.2.1.md
ko,별표7,1.2.2,현황 및 흐름분석,관리체계 수립 및 운영,위험 관리,ISMS/ISMS-P,3,N,4,3,docs/ko/annex7/1.2.2.md
ko,별표7,1.2.3,위험 평가,관리체계 수립 및 운영,위험 관리,ISMS/ISMS-P,5,Y,8,7,docs/ko/annex7/1.2.3.md
ko,별표7,1.2.4,보호대책 선정,관리체계 수립 및 운영,위험 관리,ISMS/ISMS-P,2,N,4,4,docs/ko/annex7/1.2.4.md
ko,별표7,1.3.1,보호대책 구현,관리체계 수립 및 운영,관리체계 운영,ISMS/ISMS-P,2,N,5,5,docs/ko/annex7/1.3.1.md
ko,별표7,1.3.2,보호대책 공유,관리체계 수립 및 운영,관리체계 운영,ISMS/ISMS-P,2,N,2,1,docs/ko/annex7/1.3.2.md
ko,별표7,1.3.3,운영현황 관리,관리체계 수립 및 운영,관리체계 운영,ISMS/ISMS-P,2,Y,3,2,docs/ko/annex7/1.3.3.md
ko,별표7,1.4.1,법적 요구사항 준수 검토,관리체계 수립 및 운영,관리체계 점검 및 개선,ISMS/ISMS-P,2,Y,6,7,docs/ko/annex7/1.4.1.md
ko,별표7,1.4.2,관리체계 점검,관리체계 수립 및 운영,관리체계 점검 및 개선,ISMS/ISMS-P,2,Y,3,3,docs/ko/annex7/1.4.2.md
ko,별표7,1.4.3,관리체계 개선,관리체계 수립 및 운영,관리체계 점검 및 개선,ISMS/ISMS-P,2,Y,4,4,docs/ko/annex7/1.4.3.md
ko,별표7,2.1.1,정책의 유지관리,보호대책 요구사항,"정책, 조직, 자산 관리",ISMS/ISMS-P,4,Y,4,5,docs/ko/annex7/2.1.1.md
ko,별표7,2.1.2,조직의 유지관리,보호대책 요구사항,"정책, 조직, 자산 관리",ISMS/ISMS-P,3,Y,7,4,docs/ko/annex7/2.1.2.md
ko,별표7,2.1.3,정보자산 관리,보호대책 요구사항,"정책, 조직, 자산 관리",ISMS/ISMS-P,2,N,4,3,docs/ko/annex7/2.1.3.md
ko,별표7,2.2.1,주요 직무자 지정 및 관리,보호대책 요구사항,인적 보안,ISMS/ISMS-P,4,Y,5,4,docs/ko/annex7/2.2.1.md
ko,별표7,2.2.2,직무 분리,보호대책 요구사항,인적 보안,ISMS/ISMS-P,2,N,3,2,docs/ko/annex7/2.2.2.md
ko,별표7,2.2.3,보안 서약,보호대책 요구사항,인적 보안,ISMS/ISMS-P,4,N,2,4,docs/ko/annex7/2.2.3.md
ko,별표7,2.2.4,인식제고 및 교육훈련,보호대책 요구사항,인적 보안,ISMS/ISMS-P,5,Y,4,6,docs/ko/annex7/2.2.4.md
ko,별표7,2.2.5,퇴직 및 직무변경 관리,보호대책 요구사항,인적 보안,ISMS/ISMS-P,2,Y,3,4,docs/ko/annex7/2.2.5.md
ko,별표7,2.2.6,보안 위반 시 조치,보호대책 요구사항,인적 보안,ISMS/ISMS-P,2,N,3,2,docs/ko/annex7/2.2.6.md
